ID,樣品名稱,熱量(kcal),粗蛋白(g),粗脂肪(g),總碳水化合物(g)
1,大麥仁,364.6228,8.5578,1.5935,77.1418
2,大麥片,364.6155,8.636,1.79,76.6666
3,大麥仁粉,388.8475,7.118,1.3142,84.9554
4,麥茶,17.76,,,4.44
5,小米,370.1938,11.3135,3.655,71.6907
6,糯小米,360.1972,12.465,1.5164,72.5162
7,小麥,361.6418,14.118,2.565,69.1678
8,小麥胚芽,417.0033,31.362,11.585,47.9154
9,去筋麵粉,354.9493,0.181,0.1165,85.7443
10,低筋麵粉,363.6075,8.0855,1.175,78.1938
11,中筋麵粉,361.0283,11.4535,1.31,74.0972
12,高筋麵粉,361.5771,12.945,1.19,73.0587
13,高筋麵粉(2021年取樣),362.2052,13.805,1.2755,72.2213
14,全麥麵粉,359.2716,12.968,1.706,71.429
15,雜糧中筋麵粉,360.9425,13.113,2.2865,71.978
16,雜糧高筋麵粉,360.2967,14.288,2.7543,69.589
17,水餃皮,263.5227,7.7565,0.5075,56.9823
18,春捲皮,240.8092,8.29,0.652,50.4453
19,餛飩皮,270.9594,8.34,0.543,58.1781
20,乾麵條,356.6719,11.4963,1.3691,74.5912
21,油麵條,361.4515,11.4,1.2055,76.2505
22,紅蘿蔔麵,352.0976,12.082,0.97,73.7599
23,通心麵,358.5108,13.818,1.43,72.5922
24,菠菜條,355.5868,11.792,1.22,74.3597
25,鍋燒意麵,478.9512,10.0,22.77,58.5053
26,雞蛋麵,357.7832,12.511,0.94,74.8198
27,刀削麵,266.5936,8.353,0.94,56.1804
28,拉麵,292.2838,9.108,0.815,62.1292
29,意麵,289.6036,10.069,0.99,60.1044
30,衛生油麵,163.203,5.465,1.845,31.1845
31,金門黃麵,157.9974,6.411,0.5338,31.8873
32,冷凍烏龍麵,128.612,3.4,0.2528,28.1842
33,鍋燒麵,119.7796,4.4915,0.4,24.5534
34,長麵線,309.8942,10.7203,1.073,64.339
35,蚵仔麵線,306.9804,11.268,1.41,62.3046
36,麵線,349.7513,11.707,1.4957,72.3655
37,雞絲麵,463.032,9.4,22.83,54.9905
38,麵筋,642.9216,42.5115,53.0,0.0
39,麵腸,137.9372,20.636,1.85,9.6858
40,白玉米,65.8248,3.4,0.64,11.45
41,紫玉米,167.894,4.461,1.032,34.4208
42,甜玉米,106.9033,3.25,2.4772,17.8305
43,雙色水果玉米,105.403,3.104,2.5503,17.4564
44,糯玉米,172.1804,4.727,1.898,33.4494
45,冷凍玉米粒,173.5786,3.1,8.2,22.53
46,玉米筍,30.9043,2.248,0.2831,5.8064
47,乾玉米粒,373.0182,10.8765,3.9421,72.2077
48,玉米胚芽,365.8851,7.035,0.8954,80.3116
49,玉米粉,368.578,0.323,0.4163,88.3084
50,玉米粒罐頭,89.9804,2.3413,1.4356,16.9237
51,玉米醬罐頭,65.5421,1.4045,0.4445,13.9809
52,秈米平均值,356.5641,7.823,0.8554,77.3827
53,秈米(台中在來2號),354.788,8.2,1.0,76.3
54,秈米(台中秈10號),358.3403,7.446,0.7108,78.4653
55,粳米平均值,353.9518,7.0319,0.6964,77.8224
56,粳米(台中189號),355.6145,7.5,0.56,78.0588
57,粳米(台南11號),348.3469,6.741,0.4819,77.1738
58,粳米(台粳2號),356.7255,7.205,0.5069,78.7163
59,粳米(台粳8號),355.2428,6.928,0.4024,78.8316
60,粳米(台粳9號),353.2311,6.58,0.6335,78.2041
61,粳米(台農71號),356.6444,7.9183,0.6393,77.7507
62,粳米(高雄139號),357.2448,6.1225,1.1844,78.4933
63,粳米(高雄142號),352.516,7.0,0.6,77.7
64,粳米(高雄145號),364.4454,6.768,0.9792,80.0453
65,粳米(高雄139號)(2021年取樣),352.2554,5.666,0.4619,79.1833
66,越光米,339.5073,7.556,0.9765,73.25
67,白秈糯米(台中糯70號秈米),361.3604,7.8625,0.89,78.439
68,白粳糯米平均值,358.1558,8.29,0.81,77.418
69,白粳糯米(台中189號粳米),358.6265,8.38,0.52,78.036
70,白粳糯米(台粳糯1號粳米),357.685,8.2,1.1,76.8
71,野生紅米,359.713,7.693,2.5955,74.7352
72,紅糯米,361.6964,9.92,2.8463,72.5936
73,黑秈糯米,357.4076,10.1235,3.465,70.1026
74,胚芽秈米(台中秈10號),363.0183,8.272,2.0718,76.0519
75,胚芽粳米平均值,361.7421,8.1985,1.5692,76.833
76,胚芽粳米(台粳10號）,360.3746,7.28,1.6679,77.1722
77,胚芽粳米(台粳9號),363.1096,9.117,1.4705,76.4937
78,發芽粳米平均值,354.9414,7.798,2.3453,73.9857
79,發芽粳米(台粳71號),356.7383,7.406,2.8031,73.8638
80,發芽粳米(台粳9號）,353.1446,8.19,1.8875,74.1076
81,糙秈米,358.7368,7.285,3.2064,73.6444
82,糙粳米平均值,362.3287,8.1955,2.4748,75.1385
83,糙粳米(台粳71號),360.3815,8.955,2.6203,73.6494
84,糙粳米(台粳9號),364.2759,7.436,2.3292,76.6276
85,加鈣米,355.0521,7.37,0.74,77.68
86,高纖米,362.7227,8.276,2.47,75.1674
87,五穀米,358.2847,8.695,2.8521,72.9163
88,米胚芽,390.9448,17.024,12.723,52.8858
89,秈米粉,363.2489,4.157,0.4215,83.3658
90,糙米粉,392.739,11.3,3.2,78.1
91,白糯米粉,359.895,4.505,0.3825,82.3007
92,米粉平均值,366.2824,2.0527,0.8033,85.3234
93,埔里米粉,357.72,0.534,0.52,87.726
94,細米粉,355.2832,0.374,0.57,87.1643
95,濁水米粉,357.2,5.25,1.32,81.08
96,米粄條,129.4501,1.05,0.9465,29.1829
97,米苔目,121.21,0.555,0.05,29.635
98,粿仔條,193.2956,0.511,1.24,45.0229
99,免煮飯,168.1211,3.23,0.34,37.05
100,白飯,183.1356,3.09,0.25,41.01
101,米漿(散裝),61.7,0.6,0.5,13.7
102,保久米漿,62.3877,1.026,1.4569,11.2929
103,糙米漿,71.148,1.2805,2.1848,11.5907
104,糙秈米漿,68.1714,0.855,2.1378,11.3778
105,糯米漿,50.8888,0.76,0.77,10.2297
106,黑糯米漿,50.0716,0.399,0.24,11.5789
107,高梁,371.8047,11.0165,3.0448,73.6032
108,糯高梁,362.3257,10.69,1.04,75.6852
109,黑麥片,359.2458,7.784,1.234,77.3014
110,黑麥汁,51.9318,0.322,0.0078,12.6434
111,燕麥,406.0363,10.9165,10.215,67.4401
112,燕麥片,393.374,12.3,9.7,64.1
113,即食燕麥片,406.2506,11.909,9.5684,67.8638
114,燕麥奶,43.892,1.029,0.836,8.063
115,蕎麥(甜蕎),360.8428,11.037,2.8733,71.2715
116,蕎麥麵(乾),354.9491,12.6925,1.7098,70.6336
117,蕎麥麵(濕),155.0755,6.281,1.5162,28.5986
118,薏仁,378.4899,14.0733,6.05,66.2196
119,糙薏仁,386.8506,13.702,7.3707,65.9182
120,薏仁粉,394.795,10.89,3.475,79.99
121,紅藜,378.927,12.134,6.7366,66.7713
122,淮山,362.8352,5.294,0.34,82.3519
123,山藥平均值,85.3829,2.8187,0.1107,17.8241
124,山藥(二刺),89.1922,2.732,0.0872,18.8787
125,山藥(大汕1號),79.951,2.407,0.0749,16.9691
126,山藥(大汕3號),72.683,2.649,0.08,14.965
127,山藥(大刺),84.6262,3.523,0.0704,17.0539
128,山藥(中國長品),74.1359,2.452,0.0926,15.479
129,山藥(台農1號),93.3841,2.595,0.1302,19.9388
130,山藥(台農2號),94.8985,3.207,0.0594,19.8694
131,山藥(白皮削),75.0452,2.465,0.0883,15.6961
132,山藥(尖石原生種),64.6657,3.14,0.1494,12.4121
133,山藥(宜蘭原生種),140.1744,4.796,0.1859,29.0937
134,山藥(花蓮3號),93.3366,1.693,0.0892,20.8666
135,山藥(青森),93.6043,2.607,0.1832,19.8732
136,山藥(高田),71.0372,3.116,0.1381,14.0043
137,山藥(白肉),68.626,2.08,0.1207,14.4376
138,紅薯山藥,92.3211,2.821,0.0766,19.5752
139,木薯粉,361.6688,0.076,0.1924,87.3207
140,冰心地瓜,119.2089,1.283,0.1199,27.473
141,菱角牛奶地瓜,133.1638,1.86,0.3302,29.8853
142,芋心甘薯,122.3155,1.055,0.1138,28.4558
143,紅肉甘薯,113.7181,1.7783,0.248,25.41
144,金時地瓜,138.2959,1.639,0.3583,31.2836
145,黃肉甘薯,120.6673,1.278,0.1527,27.7651
146,甘薯粉,357.5595,1.0215,0.1509,85.5103
147,油炸脫水甘薯,524.9,2.27,30.1,61.23
148,芋頭,127.75,2.5,1.1,26.4
149,芋頭(2021年取樣),106.611,1.139,0.0,24.7955
150,小芋頭(山芋),112.9382,2.2897,1.2044,22.7924
151,檳榔心芋,121.0231,1.298,0.035,28.0716
152,冷凍芋頭塊,147.181,2.2,4.3,24.9
153,芋頭粉,333.1607,0.102,0.0475,83.0813
154,豆薯,31.4353,0.728,0.0616,6.8139
155,紅馬鈴薯(粉紅珍珠馬鈴薯),65.7781,1.64,0.0173,14.374
156,馬鈴薯,76.9397,2.5825,0.2161,15.7848
157,馬鈴薯(2022年取樣),70.3922,2.276,0.0,14.9255
158,小馬鈴薯(珍珠馬鈴薯),59.4809,1.748,0.0,12.7782
159,馬鈴薯粉,346.1938,0.09,0.07,83.8
160,荸薺,67.1952,1.703,0.0989,14.4924
161,荸薺粉,364.8579,0.384,0.2065,87.7738
162,蓮藕,65.1526,2.0293,0.1893,13.5033
163,熟蓮藕,50.2206,1.088,0.0542,11.0468
164,熟蓮藕切片(水煮),73.2139,0.772,0.048,16.9402
165,蓮藕粉,364.8407,0.12,0.05,88.3381
166,菱角(生),76.3995,1.9,0.33,16.07
167,菱角仁(生),118.0451,4.141,0.3171,24.0776
168,菱角(熟),146.2443,4.218,0.25,30.9853
169,西谷米,370.9893,0.1,0.1,89.7479
170,蒟蒻粉,351.3836,0.184,0.1888,87.2371
171,粉粿,65.0955,0.016,0.1171,15.5468
172,甘扁桃仁片(生),563.8544,27.257,47.8116,16.9753
173,甘扁桃仁片(熟),617.8689,23.443,56.8882,14.8323
174,甘扁桃仁(熟),587.8776,21.946,49.8409,23.2326
175,蒜味甘扁桃仁,603.2053,23.349,53.6446,17.9801
176,杏仁霜,529.7459,9.675,36.3659,47.1231
177,松子仁(生),677.7577,16.6155,69.5262,9.3778
178,原味松子仁,680.4281,14.462,68.9571,13.0403
179,蜜汁松子仁,697.07,14.89,62.39,19.0
180,原味夏威夷豆,699.8346,7.478,71.6416,18.2422
181,鹽酥夏威夷豆,720.343,9.4045,76.3138,12.0302
182,生核桃,667.4064,15.388,67.9249,11.1741
183,甜核桃,723.4015,14.448,67.4103,14.7292
184,栗子(生),263.8746,4.6115,1.44,57.941
185,栗子仁(生),176.4781,3.686,0.7452,38.6856
186,糖炒栗子,209.5805,4.15,0.81,46.29
187,開心果,600.755,22.381,52.7376,20.0686
188,腰果(生),568.1358,18.3335,45.5279,30.3317
189,原味腰果,566.0303,16.376,43.7356,35.1692
190,蜜汁腰果,599.62,17.59,43.58,34.26
191,原味榛果,671.6361,12.997,66.4911,17.2005
192,山粉圓,399.6244,16.333,12.75,58.0421
193,玉桂西瓜子,492.4032,31.05,34.4,23.767
194,醬油西瓜子,509.2216,29.537,37.6654,22.4739
195,亞麻仁籽,524.2401,20.83,40.328,28.1117
196,亞麻仁籽粉,557.0958,21.7325,43.6424,28.5988
197,咖啡豆(曼特寧),437.4317,13.86,14.87,65.08
198,奇亞子,483.3174,21.6785,31.8405,34.7882
199,白芝麻(生),598.038,22.2645,54.9223,15.0075
200,黑芝麻(生),550.9268,22.1585,48.0768,17.6005
201,白芝麻(熟),625.6099,20.2885,58.6937,15.7107
202,白芝麻(熟)2022年取樣),600.6946,21.734,52.4471,21.2028
203,黑芝麻(熟),599.4997,17.26,54.4333,20.639
204,黑芝麻(熟)(2022年取樣),591.1492,20.689,51.7701,21.1407
205,黑芝麻粉,601.276,15.719,55.2097,20.7926
206,帶殼花生(生鮮),330.7629,15.289,27.2359,12.2225
207,冷凍帶殼花生(熟),343.5417,17.153,27.444,13.3451
208,生鮮花生仁,505.8875,28.785,38.5,20.5795
209,去膜花生仁(生),557.6365,28.8335,45.3639,19.1372
210,帶膜花生仁(生),516.4973,23.6283,38.1004,28.4046
